synapseFile,synapseField,climbFacet,climbField
biospecimen,BrodmannArea,NA,NA
biospecimen,visitNumber,NA,NA
biospecimen,cellType,NA,NA
biospecimen,fastingState,NA,NA
biospecimen,individualID,script,animalName
biospecimen,isPostMortem,NA,NA
biospecimen,nucleicAcidSource,NA,NA
biospecimen,organ,samples,type
biospecimen,sampleStatus,samples,status
biospecimen,samplingAge,script,ageInWeeks
biospecimen,samplingAgeUnits,script,samplingAgeUnits
biospecimen,specimenID,samples,name
biospecimen,specimenIdSource,samples,origin
biospecimen,tissue,samples,type
biospecimen,tissueVolume,NA,NA
biospecimen,tissueWeight,NA,NA
biospecimen,assay,NA,NA
individual,Component,NA,NA
individual,individualID,animals,animalName
individual,climbID,animals,animalId
individual,microchipID,animals,microchipIdentifier
individual,birthID,script,NA
individual,matingID,script,NA
individual,individualIdSource,script,NA
individual,materialOrigin,script,origin
individual,sex,animals,sex
individual,species,animals,species
individual,generation,animals,generation
individual,dateBirth,animals,dateBorn
individual,ageDeath,script,ageDeath
individual,ageDeathUnits,script,ageDeathUnits
individual,brainWeight,NA,NA
individual,rodentWeight,NA,NA
individual,rodentDiet,animals,diet
individual,bedding,NA,NA
individual,room,animals,location
individual,waterpH,NA,NA
individual,treatmentDose,NA,NA
individual,treatmentType,NA,NA
individual,stockNumber,lines,stock
individual,genotype,genotypes,genotype
individual,genotypeBackground,lines,backgroundLine
individual,modelSystemName,NA,NA
individual,strainOfficialName,script,lineName
